Node,Depth,Value,Alpha,Beta
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,4,-Infinity,-4
B2,3,4,-Infinity,-4
A4,4,4,-Infinity,-4
B2,3,4,-Infinity,-4
A5,2,4,-Infinity,-4
A4,2,-4,-Infinity,-4
B3,1,-4,-Infinity,-4
A5,2,-Infinity,-Infinity,-4
B2,3,Infinity,-Infinity,-4
A2,4,4,-Infinity,-4
B2,3,4,-Infinity,-4
A4,4,4,-Infinity,-4
B2,3,4,-Infinity,-4
A5,2,4,-Infinity,-4
B3,1,-4,-Infinity,-4
B2,1,-4,-4,Infinity
B4,1,Infinity,-4,Infinity
A2,2,Infinity,-4,Infinity
A3,2,Infinity,-4,Infinity
A2,2,Infinity,-4,Infinity
A4,2,Infinity,-4,Infinity
A2,2,Infinity,-4,Infinity
A3,2,-Infinity,-4,Infinity
B3,3,Infinity,-4,Infinity
A5,4,-4,-4,Infinity
B3,3,-4,-4,Infinity
A3,2,-4,-4,Infinity
B5,3,Infinity,-4,Infinity
A4,4,-14,-4,Infinity
B5,3,-14,-4,Infinity
A3,2,-4,-4,Infinity
A2,2,-4,-4,Infinity
A4,2,-4,-4,Infinity
A2,2,-4,-4,Infinity
A3,2,-4,-4,Infinity
A2,2,-4,-4,Infinity
B4,1,-4,-4,Infinity
B2,1,-4,-4,Infinity
B5,1,Infinity,-4,Infinity
A2,2,Infinity,-4,Infinity
A3,2,Infinity,-4,Infinity
A2,2,Infinity,-4,Infinity
A4,2,Infinity,-4,Infinity
A2,2,Infinity,-4,Infinity
A3,2,-Infinity,-4,Infinity
B3,3,Infinity,-4,Infinity
A5,4,-4,-4,Infinity
B3,3,-4,-4,Infinity
A3,2,-4,-4,Infinity
B4,3,Infinity,-4,Infinity
A5,4,-4,-4,Infinity
B4,3,-4,-4,Infinity
A3,2,-4,-4,Infinity
A2,2,-4,-4,Infinity
A4,2,-4,-4,Infinity
A2,2,-4,-4,Infinity
A3,2,-4,-4,Infinity
A2,2,-4,-4,Infinity
B5,1,-4,-4,Infinity
B2,1,-4,-4,Infinity
root,0,-4,-4,Infinity
B3,1,-Infinity,-4,Infinity
B2,1,-Infinity,-4,Infinity
B3,1,Infinity,-4,Infinity
A2,2,Infinity,-4,Infinity
A3,2,Infinity,-4,Infinity
A2,2,Infinity,-4,Infinity
A4,2,Infinity,-4,Infinity
A2,2,Infinity,-4,Infinity
A3,2,-Infinity,-4,Infinity
B4,3,Infinity,-4,Infinity
A3,4,-4,-4,Infinity
B4,3,-4,-4,Infinity
A3,2,-4,-4,Infinity
B5,3,Infinity,-4,Infinity
A4,4,-4,-4,Infinity
B5,3,-4,-4,Infinity
A3,2,-4,-4,Infinity
A2,2,-4,-4,Infinity
A4,2,-4,-4,Infinity
A2,2,-4,-4,Infinity
A3,2,-4,-4,Infinity
A2,2,-4,-4,Infinity
B3,1,-4,-4,Infinity
B2,1,-4,-4,Infinity
B4,1,Infinity,-4,Infinity
A2,2,Infinity,-4,Infinity
A3,2,Infinity,-4,Infinity
A2,2,Infinity,-4,Infinity
A4,2,-Infinity,-4,Infinity
B2,3,Infinity,-4,Infinity
A2,4,Infinity,-4,Infinity
A3,4,-3,-4,Infinity
A2,4,-3,-4,-3
A5,4,-3,-4,-3
A2,4,-3,-4,-3
B2,3,-3,-4,-3
A3,4,-1,-4,-3
B2,3,-3,-4,-3
A5,4,-2,-4,-3
B2,3,-3,-4,-3
A4,2,-3,-3,Infinity
B3,3,Infinity,-3,Infinity
A2,4,Infinity,-3,Infinity
A3,4,-3,-3,Infinity
A2,4,-3,-3,Infinity
B3,3,-3,-3,Infinity
A4,2,-3,-3,Infinity
B5,3,Infinity,-3,Infinity
A2,4,Infinity,-3,Infinity
A3,4,Infinity,-3,Infinity
A2,4,Infinity,-3,Infinity
A4,4,-5,-3,Infinity
A2,4,-5,-3,Infinity
A3,4,-3,-3,Infinity
A2,4,-3,-3,Infinity
B5,3,-3,-3,Infinity
A4,2,-3,-3,Infinity
A2,2,-3,-4,-3
A5,2,-Infinity,-4,-3
B2,3,Infinity,-4,-3
A2,4,Infinity,-4,-3
A3,4,-3,-4,-3
A2,4,-3,-4,-3
A4,4,-3,-4,-3
A2,4,-3,-4,-3
B2,3,-3,-4,-3
A3,4,-1,-4,-3
B2,3,-3,-4,-3
A4,4,-2,-4,-3
B2,3,-3,-4,-3
A5,2,-3,-4,-3
A2,2,-3,-4,-3
A3,2,-3,-4,-3
A4,2,-Infinity,-4,-3
B2,3,Infinity,-4,-3
A2,4,-1,-4,-3
B2,3,-1,-4,-3
A3,4,0,-4,-3
B2,3,-1,-4,-3
A5,4,-1,-4,-3
B2,3,-1,-4,-3
A4,2,-1,-4,-3
A3,2,-3,-4,-3
A5,2,-Infinity,-4,-3
B2,3,Infinity,-4,-3
A2,4,-1,-4,-3
B2,3,-1,-4,-3
A3,4,0,-4,-3
B2,3,-1,-4,-3
A4,4,-1,-4,-3
B2,3,-1,-4,-3
A5,2,-1,-4,-3
A3,2,-3,-4,-3
A2,2,-3,-4,-3
A4,2,-Infinity,-4,-3
B2,3,Infinity,-4,-3
A2,4,Infinity,-4,-3
A3,4,-1,-4,-3
A2,4,-1,-4,-3
A5,4,-1,-4,-3
A2,4,-1,-4,-3
B2,3,-1,-4,-3
A3,4,0,-4,-3
B2,3,-1,-4,-3
A5,4,0,-4,-3
B2,3,-1,-4,-3
A4,2,-1,-4,-3
A2,2,-3,-4,-3
A5,2,-Infinity,-4,-3
B2,3,Infinity,-4,-3
A2,4,Infinity,-4,-3
A3,4,-1,-4,-3
A2,4,-1,-4,-3
A4,4,-1,-4,-3
A2,4,-1,-4,-3
B2,3,-1,-4,-3
A3,4,0,-4,-3
B2,3,-1,-4,-3
A4,4,0,-4,-3
B2,3,-1,-4,-3
A5,2,-1,-4,-3
A2,2,-3,-4,-3
B4,1,-3,-4,-3
A3,2,Infinity,-4,-3
A2,2,-Infinity,-4,-3
B2,3,Infinity,-4,-3
A4,4,0,-4,-3
B2,3,0,-4,-3
A5,4,0,-4,-3
B2,3,0,-4,-3
A2,2,0,-4,-3
A3,2,-3,-4,-3
A4,2,-Infinity,-4,-3
B2,3,Infinity,-4,-3
A2,4,0,-4,-3
B2,3,0,-4,-3
A3,4,1,-4,-3
B2,3,0,-4,-3
A5,4,0,-4,-3
B2,3,0,-4,-3
A4,2,0,-4,-3
A3,2,-3,-4,-3
A5,2,-Infinity,-4,-3
B2,3,Infinity,-4,-3
A2,4,0,-4,-3
B2,3,0,-4,-3
A3,4,1,-4,-3
B2,3,0,-4,-3
A4,4,0,-4,-3
B2,3,0,-4,-3
A5,2,0,-4,-3
A3,2,-3,-4,-3
B4,1,-3,-4,-3
A4,2,-Infinity,-4,-3
B2,3,Infinity,-4,-3
A2,4,1,-4,-3
B2,3,1,-4,-3
A3,4,1,-4,-3
B2,3,1,-4,-3
A5,4,1,-4,-3
B2,3,1,-4,-3
A4,2,1,-4,-3
B4,1,-3,-4,-3
A5,2,-Infinity,-4,-3
B2,3,Infinity,-4,-3
A2,4,1,-4,-3
B2,3,1,-4,-3
A3,4,1,-4,-3
B2,3,1,-4,-3
A4,4,1,-4,-3
B2,3,1,-4,-3
A5,2,1,-4,-3
B4,1,-3,-4,-3
B2,1,-3,-3,Infinity
B5,1,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A4,2,-Infinity,-3,Infinity
B2,3,Infinity,-3,Infinity
A2,4,Infinity,-3,Infinity
A3,4,-3,-3,Infinity
A2,4,-3,-3,Infinity
B2,3,-3,-3,Infinity
A4,2,-3,-3,Infinity
B3,3,Infinity,-3,Infinity
A2,4,Infinity,-3,Infinity
A3,4,-4,-3,Infinity
A2,4,-4,-3,Infinity
B3,3,-3,-3,Infinity
A4,2,-3,-3,Infinity
B4,3,Infinity,-3,Infinity
A2,4,Infinity,-3,Infinity
A3,4,-3,-3,Infinity
A2,4,-3,-3,Infinity
B4,3,-3,-3,Infinity
A4,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
A3,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
B5,1,-3,-3,Infinity
B2,1,-3,-3,Infinity
B3,1,-3,-3,Infinity
B4,1,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A4,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,-Infinity,-3,Infinity
B5,3,-14,-3,Infinity
A3,2,-14,-3,Infinity
A2,2,-14,-3,Infinity
A4,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
A3,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
B4,1,-3,-3,Infinity
B3,1,-3,-3,Infinity
B5,1,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A4,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,-Infinity,-3,Infinity
B4,3,Infinity,-3,Infinity
A5,4,-8,-3,Infinity
B4,3,-8,-3,Infinity
A3,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
A4,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
A3,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
B5,1,-3,-3,Infinity
B3,1,-3,-3,Infinity
root,0,-3,-3,Infinity
B4,1,-Infinity,-3,Infinity
B2,1,-Infinity,-3,Infinity
B3,1,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A4,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,-Infinity,-3,Infinity
B4,3,-Infinity,-3,Infinity
B5,3,-10,-3,Infinity
B4,3,-10,-3,Infinity
A3,2,-10,-3,Infinity
B5,3,Infinity,-3,Infinity
A3,4,-3,-3,Infinity
B5,3,-3,-3,Infinity
A3,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
A4,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
A3,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
B3,1,-3,-3,Infinity
B2,1,-3,-3,Infinity
B4,1,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A4,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,-Infinity,-3,Infinity
B3,3,Infinity,-3,Infinity
A5,4,-4,-3,Infinity
B3,3,-4,-3,Infinity
A3,2,-3,-3,Infinity
B5,3,Infinity,-3,Infinity
A3,4,-4,-3,Infinity
B5,3,-4,-3,Infinity
A3,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
A4,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
A3,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
B4,1,-3,-3,Infinity
B2,1,-3,-3,Infinity
B5,1,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A4,2,-Infinity,-3,Infinity
B2,3,Infinity,-3,Infinity
A2,4,Infinity,-3,Infinity
A3,4,-3,-3,Infinity
A2,4,-3,-3,Infinity
B2,3,-3,-3,Infinity
A4,2,-3,-3,Infinity
B3,3,Infinity,-3,Infinity
A2,4,Infinity,-3,Infinity
A3,4,-3,-3,Infinity
A2,4,-3,-3,Infinity
B3,3,-3,-3,Infinity
A4,2,-3,-3,Infinity
B4,3,Infinity,-3,Infinity
A2,4,Infinity,-3,Infinity
A3,4,6,-3,Infinity
A2,4,6,-3,6
B4,3,6,-3,6
A3,4,5,-3,6
B4,3,5,-3,5
A4,2,5,5,Infinity
A2,2,5,-3,5
A5,2,-Infinity,-3,5
B2,3,Infinity,-3,5
A2,4,Infinity,-3,5
A3,4,-3,-3,5
A2,4,-3,-3,5
B2,3,-3,-3,5
A5,2,-3,-3,5
B3,3,Infinity,-3,5
A2,4,Infinity,-3,5
A3,4,-3,-3,5
A2,4,-3,-3,5
B3,3,-3,-3,5
A5,2,-3,-3,5
B4,3,Infinity,-3,5
A2,4,Infinity,-3,5
A3,4,-3,-3,5
A2,4,-3,-3,5
B4,3,-3,-3,5
A5,2,-3,-3,5
A2,2,-3,-3,5
A3,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
B5,1,-3,-3,Infinity
B2,1,-3,-3,Infinity
B4,1,-3,-3,Infinity
B3,1,-Infinity,-3,Infinity
B2,1,-Infinity,-3,Infinity
B3,1,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A4,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,-Infinity,-3,Infinity
B4,3,Infinity,-3,Infinity
A5,4,-3,-3,Infinity
B4,3,-3,-3,Infinity
A3,2,-3,-3,Infinity
B5,3,Infinity,-3,Infinity
A3,4,-3,-3,Infinity
B5,3,-3,-3,Infinity
A3,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
A4,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
A3,2,-3,-3,Infinity
A2,2,-3,-3,Infinity
B3,1,-3,-3,Infinity
B2,1,-3,-3,Infinity
B4,1,-Infinity,-3,Infinity
B3,1,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A5,2,Infinity,-3,Infinity
A2,2,Infinity,-3,Infinity
A3,2,-Infinity,-3,Infinity
B5,3,-2,-3,Infinity
A3,2,-2,-2,Infinity
A2,2,-2,-3,-2
A4,2,-Infinity,-3,-2
B5,3,-2,-3,-2
A4,2,-2,-3,-2
A2,2,-2,-3,-2
A5,2,-2,-3,-2
A3,2,-Infinity,-3,-2
B5,3,-2,-3,-2
A3,2,-2,-3,-2
A5,2,-2,-3,-2
A4,2,-Infinity,-3,-2
B5,3,-2,-3,-2
A4,2,-2,-3,-2
A5,2,-2,-3,-2
A2,2,-2,-3,-2
A3,2,-2,-3,-2
A5,2,Infinity,-3,-2
A2,2,-Infinity,-3,-2
B2,3,Infinity,-3,-2
A4,4,10,-3,-2
B2,3,10,-3,-2
A2,2,10,-3,-2
A5,2,-2,-3,-2
A3,2,-Infinity,-3,-2
B5,3,-2,-3,-2
A3,2,-2,-3,-2
A5,2,-2,-3,-2
A4,2,-Infinity,-3,-2
B5,3,-2,-3,-2
A4,2,-2,-3,-2
A5,2,-2,-3,-2
A3,2,-2,-3,-2
A2,2,-2,-3,-2
A5,2,Infinity,-3,-2
A2,2,Infinity,-3,-2
A3,2,-Infinity,-3,-2
B2,3,Infinity,-3,-2
A2,4,Infinity,-3,-2
A4,4,8,-3,-2
A2,4,8,-3,-2
B2,3,8,-3,-2
A4,4,4,-3,-2
B2,3,4,-3,-2
A3,2,4,-3,-2
A2,2,-2,-3,-2
A4,2,-Infinity,-3,-2
B5,3,-2,-3,-2
A4,2,-2,-3,-2
A2,2,-2,-3,-2
A5,2,-2,-3,-2
A3,2,-Infinity,-3,-2
B2,3,Infinity,-3,-2
A2,4,5,-3,-2
B2,3,5,-3,-2
A4,4,5,-3,-2
B2,3,5,-3,-2
A3,2,5,-3,-2
A5,2,-2,-3,-2
A4,2,-Infinity,-3,-2
B5,3,-2,-3,-2
A4,2,-2,-3,-2
A5,2,-2,-3,-2
A2,2,-2,-3,-2
B3,1,-2,-3,-2
A3,2,Infinity,-3,-2
A2,2,-Infinity,-3,-2
B2,3,Infinity,-3,-2
A5,4,Infinity,-3,-2
A2,4,Infinity,-3,-2
A3,4,4,-3,-2
A2,4,4,-3,-2
A4,4,5,-3,-2
A2,4,4,-3,-2
A5,4,4,-3,-2
A3,4,6,-3,-2
A5,4,4,-3,-2
A4,4,6,-3,-2
A5,4,4,-3,-2
B2,3,4,-3,-2
A2,2,4,-3,-2
A3,2,-2,-3,-2
A5,2,Infinity,-3,-2
A2,2,-Infinity,-3,-2
B2,3,Infinity,-3,-2
A3,4,4,-3,-2
B2,3,4,-3,-2
A4,4,5,-3,-2
B2,3,4,-3,-2
A2,2,4,-3,-2
A5,2,-2,-3,-2
A3,2,-Infinity,-3,-2
B5,3,-2,-3,-2
A3,2,-2,-3,-2
A5,2,-2,-3,-2
A4,2,-Infinity,-3,-2
B5,3,-2,-3,-2
A4,2,-2,-3,-2
A5,2,-2,-3,-2
A3,2,-2,-3,-2
B3,1,-2,-3,-2
A5,2,Infinity,-3,-2
A2,2,-Infinity,-3,-2
B2,3,Infinity,-3,-2
A4,4,14,-3,-2
B2,3,14,-3,-2
A2,2,14,-3,-2
A5,2,-2,-3,-2
A3,2,-Infinity,-3,-2
B2,3,Infinity,-3,-2
A2,4,6,-3,-2
B2,3,6,-3,-2
A4,4,6,-3,-2
B2,3,6,-3,-2
A3,2,6,-3,-2
A5,2,-2,-3,-2
A4,2,-Infinity,-3,-2
B5,3,-2,-3,-2
A4,2,-2,-3,-2
A5,2,-2,-3,-2
B3,1,-2,-3,-2
B4,1,-2,-2,Infinity
B5,1,Infinity,-2,Infinity
A2,2,-Infinity,-2,Infinity
B2,3,Infinity,-2,Infinity
A3,4,3,-2,Infinity
B2,3,3,-2,3
A4,4,3,-2,3
B2,3,3,-2,3
A5,4,3,-2,3
B2,3,3,-2,3
A2,2,3,3,Infinity
B3,3,Infinity,3,Infinity
A3,4,8,3,Infinity
B3,3,8,3,8
A5,4,8,3,8
B3,3,8,3,8
A2,2,8,8,Infinity
B5,1,8,-2,8
A3,2,-Infinity,-2,8
B2,3,Infinity,-2,8
A2,4,3,-2,8
B2,3,3,-2,3
A4,4,3,-2,3
B2,3,3,-2,3
A5,4,3,-2,3
B2,3,3,-2,3
A3,2,3,3,8
B3,3,Infinity,3,8
A2,4,8,3,8
B3,3,8,3,8
A5,4,8,3,8
B3,3,8,3,8
A3,2,8,3,8
B5,1,8,-2,8
A4,2,-Infinity,-2,8
B2,3,Infinity,-2,8
A2,4,3,-2,8
B2,3,3,-2,3
A3,4,3,-2,3
B2,3,3,-2,3
A5,4,3,-2,3
B2,3,3,-2,3
A4,2,3,3,8
B3,3,Infinity,3,8
A2,4,4,3,8
B3,3,4,3,4
A3,4,4,3,4
B3,3,4,3,4
A5,4,4,3,4
B3,3,4,3,4
A4,2,4,4,8
B5,1,4,-2,4
A5,2,-Infinity,-2,4
B2,3,Infinity,-2,4
A2,4,3,-2,4
B2,3,3,-2,3
A3,4,3,-2,3
B2,3,3,-2,3
A4,4,3,-2,3
B2,3,3,-2,3
A5,2,3,3,4
B3,3,Infinity,3,4
A2,4,9,3,4
B3,3,9,3,4
A3,4,9,3,4
B3,3,9,3,4
A5,2,9,3,4
B5,1,4,-2,4
B4,1,4,4,Infinity
B2,1,4,4,Infinity
B5,1,Infinity,4,Infinity
A2,2,Infinity,4,Infinity
A3,2,-Infinity,4,Infinity
B2,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A4,4,0,4,Infinity
A2,4,0,4,Infinity
B2,3,4,4,Infinity
A3,2,4,4,Infinity
B3,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A4,4,0,4,Infinity
A2,4,0,4,Infinity
B3,3,4,4,Infinity
A3,2,4,4,Infinity
B4,3,-Infinity,4,Infinity
B2,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A4,4,1,4,Infinity
A2,4,1,4,Infinity
B2,3,4,4,Infinity
B4,3,4,4,Infinity
B3,3,Infinity,4,Infinity
A2,4,Infinity,4,Infinity
A5,4,6,4,Infinity
A2,4,6,4,6
B3,3,6,4,6
A5,4,7,4,6
B3,3,6,4,6
B4,3,6,6,Infinity
B5,3,-Infinity,6,Infinity
B2,3,Infinity,6,Infinity
A2,4,Infinity,6,Infinity
A4,4,2,6,Infinity
A2,4,2,6,Infinity
B2,3,6,6,Infinity
B5,3,6,6,Infinity
B3,3,Infinity,6,Infinity
A2,4,Infinity,6,Infinity
A5,4,7,6,Infinity
A2,4,7,6,7
B3,3,7,6,7
A5,4,8,6,7
B3,3,7,6,7
